,appris_reads
total_reads,1761348875
clipped_reads,1761348875
clipped_reads_%,100.0
filtered_out,6417885
filtered_out_%,0.36
filter_kept,1754930990
filter_kept_%,99.64
transcriptome_aligned_once,1441704662
transcriptome_aligned_once_%,82.15
transcriptome_aligned_many,313226168
transcriptome_aligned_many_%,17.85
transcriptome_total_aligned,1754930830
transcriptome_total_aligned_%,100.0
transcriptome_unaligned,160
transcriptome_unaligned_%,0.0
qpass_aligned_reads,1631140338
qpass_aligned_reads_%,92.95
after_dedup,1631140336
after_dedup_%,100.0
